Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;;Querkräfte [kN/m];;Normalkräfte [kN/m];;;
;;;;;-0.95;-3.13;-86.82;0.31;0.64;-168.92;-61.79;-151.43;-40.64;8.56
913;1;2.600;1.000;-3.888;1.43;0.28;76.63;1.20;4.60;115.37;117.00;-16.54;34.68;79.85
;;;;;-1.72;-3.95;-80.27;0.24;0.63;-176.76;-21.05;-175.11;-37.30;12.89
914;1;2.600;1.400;-3.922;1.37;0.32;84.85;1.53;3.91;70.97;89.04;-14.39;62.05;112.83
;;;;;-1.87;-4.83;-17.44;0.23;0.51;-177.51;8.60;-185.09;-33.64;12.74
915;1;2.600;1.800;-3.957;1.19;-0.43;81.23;1.88;3.25;129.90;113.35;-16.69;51.42;129.47
;;;;;-1.75;-5.51;-27.51;0.26;0.61;-128.00;-10.90;-147.87;-28.43;14.65
916;1;2.600;2.200;-3.993;0.98;-0.54;66.90;2.16;3.86;176.39;202.69;-19.06;29.68;135.30
;;;;;-1.46;-5.52;-38.36;0.27;0.69;-173.58;-14.44;-129.89;-25.31;16.59
917;1;2.600;2.600;-4.028;0.84;-0.59;45.14;2.08;6.59;155.40;417.57;150.47;33.93;139.98
;;;;;-1.28;-4.39;-51.08;0.20;0.46;-107.13;-22.62;-82.91;-28.62;20.30
918;1;2.600;3.000;-4.063;1.95;-0.62;45.34;2.08;8.45;176.45;894.37;173.10;43.20;361.44
;;;;;-1.01;-2.69;-69.47;0.29;0.33;-169.41;-26.23;-136.84;-42.92;36.68
919;1;2.600;3.400;-4.097;4.16;-0.81;85.69;3.52;5.60;167.06;1473.27;130.12;37.23;671.62
;;;;;-0.79;-3.21;-88.44;0.49;0.57;-174.62;-23.03;-201.70;-57.91;54.39
920;1;2.600;3.800;-4.133;5.30;-0.98;-65.80;4.90;7.95;146.90;1926.09;46.61;20.20;939.74
;;;;;0.47;-4.61;-74.43;0.85;1.76;-70.80;-13.72;-240.52;-76.69;84.47
921;1;3.000;0.200;-3.912;1.23;-0.43;78.38;1.51;6.44;174.65;121.41;18.30;36.83;101.03
;;;;;-0.48;-2.25;-89.80;0.24;1.02;-165.63;-49.82;-109.12;-47.81;14.04
922;1;3.000;0.600;-3.938;1.57;0.30;82.53;1.59;4.23;179.80;136.63;-16.02;38.02;90.69
;;;;;-1.41;-3.34;-89.46;0.32;0.43;-178.98;-36.58;-112.96;-41.64;14.23
923;1;3.000;1.000;-3.963;1.73;0.43;86.14;1.61;4.14;154.60;115.47;-12.02;32.92;92.85
;;;;;-1.78;-4.38;-89.95;0.30;0.49;-27.69;28.42;-159.25;-39.17;15.57
924;1;3.000;1.400;-3.987;1.63;0.38;89.81;1.70;2.69;130.53;88.92;5.42;29.00;142.55
;;;;;-2.07;-5.32;15.11;0.26;0.58;-41.44;25.46;-199.04;-45.34;15.87
925;1;3.000;1.800;-4.012;1.38;-0.45;80.76;1.95;1.89;175.30;157.70;-0.94;20.46;180.06
;;;;;-2.09;-5.98;-15.03;0.19;0.54;-169.34;16.69;-202.42;-55.79;16.41
926;1;3.000;2.200;-4.037;1.09;-0.53;68.60;2.08;4.77;178.41;240.30;-10.50;15.37;178.05
;;;;;-1.76;-5.93;-24.29;0.23;0.73;-177.15;18.12;-169.29;-53.06;15.07
927;1;3.000;2.600;-4.063;1.51;-0.57;57.86;2.49;8.50;163.71;379.53;88.33;33.01;152.45
;;;;;-1.07;-4.67;-37.18;0.31;0.95;-79.54;13.53;-109.95;-31.16;15.33
928;1;3.000;3.000;-4.088;4.55;-0.53;56.98;3.64;9.81;175.63;802.97;156.37;46.77;323.51
;;;;;-0.87;-3.15;-64.45;0.54;0.91;-165.07;-19.92;-124.23;-33.53;32.54
929;1;3.000;3.400;-4.113;7.16;-0.72;82.39;5.23;7.11;161.99;1417.23;117.39;51.23;649.92
;;;;;-0.76;-3.55;-85.07;0.68;0.60;-169.02;-21.16;-201.01;-48.56;55.58
930;1;3.000;3.800;-4.137;7.40;-1.27;64.43;6.31;8.91;128.23;1906.20;-50.77;28.32;935.76
;;;;;0.58;-5.30;-89.08;1.01;1.83;-73.26;21.81;-254.34;-70.76;100.17
931;1;3.400;0.200;-4.008;1.52;-0.39;73.28;1.39;6.11;179.34;178.76;13.58;42.76;113.41
;;;;;-0.81;-2.72;-88.67;0.21;1.60;-179.51;53.64;-88.30;-48.68;30.68
932;1;3.400;0.600;-4.023;1.62;0.37;88.36;1.72;3.90;175.82;161.25;11.20;48.14;92.02
;;;;;-1.20;-3.39;-86.25;0.38;0.57;-179.47;56.35;-80.91;-42.42;30.29
933;1;3.400;1.000;-4.037;1.67;0.31;87.30;1.93;4.02;155.32;123.53;7.82;51.04;97.09
;;;;;-1.34;-4.57;-88.33;0.30;0.52;-176.87;53.01;-89.04;-39.52;28.84
934;1;3.400;1.400;-4.052;1.56;-0.31;86.79;2.06;4.00;135.60;145.35;4.97;48.73;143.69
;;;;;-1.55;-5.54;-85.50;0.30;0.59;-144.52;46.51;-142.04;-33.94;36.46
935;1;3.400;1.800;-4.068;1.36;-0.38;88.90;2.27;4.08;123.04;190.91;-6.28;43.17;196.77
;;;;;-1.66;-6.20;-86.93;0.26;0.63;-84.70;42.33;-202.63;-37.64;24.31
936;1;3.400;2.200;-4.082;1.13;-0.46;77.51;2.29;7.60;142.58;236.86;-10.61;38.23;220.09
;;;;;-1.58;-6.16;41.35;0.27;0.66;-57.34;33.71;-220.66;-40.82;22.70
937;1;3.400;2.600;-4.097;3.20;-0.49;81.09;3.19;12.36;162.40;306.66;-27.67;41.41;189.81
;;;;;-1.19;-4.94;41.04;0.55;1.07;-78.12;41.43;-245.18;-39.40;26.14
938;1;3.400;3.000;-4.113;7.76;-0.79;81.81;5.28;13.21;168.44;652.75;30.80;60.48;315.61
;;;;;-0.53;-3.05;-58.52;0.76;1.17;84.17;27.64;-158.89;-30.50;31.92
939;1;3.400;3.400;-4.128;11.10;-1.12;78.95;7.48;9.32;178.00;1317.52;8.25;66.10;657.85
;;;;;-0.48;-3.96;-65.64;0.99;0.71;-155.27;18.95;-188.85;-37.18;57.46
940;1;3.400;3.800;-4.142;10.39;-1.60;72.79;8.53;14.83;125.18;1868.10;-151.48;42.14;939.77
;;;;;0.96;-6.67;-64.33;1.31;2.02;-78.93;34.11;-259.83;-67.90;116.21
941;1;3.800;0.200;-4.102;0.93;-0.22;76.40;1.00;5.10;157.15;412.34;8.62;54.58;204.66
;;;;;-0.53;-1.98;-72.16;0.15;1.55;108.49;77.46;-93.60;-66.04;43.18
942;1;3.800;0.600;-4.108;0.83;-0.16;78.51;1.63;3.76;154.03;410.75;5.02;71.84;205.16
;;;;;-0.34;-3.43;-84.67;0.27;0.74;-161.25;78.76;-106.52;-42.53;40.50
943;1;3.800;1.000;-4.113;0.89;-0.18;89.39;2.17;4.39;156.50;365.59;9.90;79.46;178.74
;;;;;-0.38;-4.67;-87.47;0.26;0.40;-138.47;64.40;-146.00;-23.66;47.72
944;1;3.800;1.400;-4.117;0.91;-0.18;89.12;2.59;5.83;125.11;277.30;14.49;79.99;133.05
;;;;;-0.48;-5.66;-89.20;0.23;0.64;-119.73;66.98;-185.09;-19.87;36.97
945;1;3.800;1.800;-4.122;0.87;-0.25;87.35;2.88;7.01;134.04;178.80;2.14;76.90;119.28
;;;;;-0.54;-6.30;-87.26;0.24;0.67;-102.73;63.45;-239.50;-23.12;46.17
946;1;3.800;2.200;-4.128;1.69;-0.36;89.13;2.86;10.02;135.96;156.93;-4.65;73.37;164.15
;;;;;-0.53;-6.25;-89.21;0.28;0.66;-96.91;79.05;-325.72;-25.17;47.89
947;1;3.800;2.600;-4.133;5.38;-0.60;86.30;3.54;16.27;147.42;151.90;-16.79;70.96;243.44
;;;;;-0.43;-5.10;-87.94;0.54;1.64;-148.00;88.79;-445.89;-24.47;52.79
948;1;3.800;3.000;-4.137;11.92;-1.25;87.66;6.78;19.74;169.56;482.47;-48.70;80.01;449.39
;;;;;0.18;-2.90;-88.22;0.90;1.71;-103.51;72.03;-573.31;-30.09;60.36
949;1;3.800;3.400;-4.142;16.80;-2.51;88.59;10.21;18.25;174.52;1210.62;-156.77;76.56;799.01
;;;;;0.50;-3.62;-88.66;1.51;2.01;-157.96;72.31;-601.50;-32.02;116.91
950;1;3.800;3.800;-4.148;15.17;-2.15;78.45;11.90;26.70;169.64;1787.92;-220.52;73.64;1004.33
;;;;;1.27;-8.64;-78.56;1.71;3.92;-169.27;47.32;-371.16;-49.60;140.51
951;1;-0.050;-0.050;-3.175;28.86;-17.77;89.39;72.60;678.96;110.39;-28.20;-269.94;87.01;261.12
;;;;;-47.15;-187.50;-83.14;10.19;44.11;-142.12;-376.75;-712.55;-86.35;68.02
952;1;-0.050;-0.150;-3.200;6.71;-7.24;80.56;23.98;438.04;58.07;-63.44;-179.20;86.57;197.06
;;;;;-30.78;-64.21;-87.20;3.91;44.55;-90.65;-265.06;-542.97;18.79;74.05
953;1;-0.050;-0.250;-3.224;2.82;-5.58;79.11;13.09;240.01;83.65;-39.59;-148.73;87.35;166.36
;;;;;-20.42;-36.66;-76.52;3.16;27.36;-80.32;-179.47;-453.95;24.35;69.94
954;1;-0.050;-0.350;-3.249;1.80;-3.89;86.30;9.68;165.97;116.45;-27.22;-139.67;86.02;148.90
;;;;;-11.07;-26.63;-87.97;1.56;13.10;-89.12;-142.75;-416.67;25.88;57.24
955;1;-0.050;-0.450;-3.274;1.41;-2.32;79.36;8.24;123.24;112.16;-17.02;-130.70;84.50;141.55
;;;;;-5.46;-20.37;-87.12;1.28;16.17;-89.08;-113.58;-392.03;30.08;57.94
956;1;-0.050;-0.550;-3.298;2.38;-1.54;76.19;7.37;95.24;120.45;17.76;-123.90;83.14;134.87
;;;;;-2.10;-16.01;-79.21;1.11;14.92;-38.34;-107.35;-371.15;32.76;55.58
957;1;-0.050;-0.650;-3.323;3.40;-1.09;77.26;6.54;74.03;124.68;22.72;-117.56;81.71;126.55
;;;;;-0.66;-12.67;-86.58;1.06;11.52;-40.46;-100.33;-351.93;35.76;52.28
958;1;-0.050;-0.750;-3.348;3.99;-0.79;87.17;5.67;56.97;126.52;23.95;-111.21;80.22;120.53
;;;;;0.77;-9.97;-24.32;0.99;9.07;-43.82;-92.25;-333.30;35.56;48.77
959;1;-0.050;-0.850;-3.372;4.26;-0.58;82.70;5.00;44.75;126.65;22.46;-98.56;78.61;117.59
;;;;;0.65;-7.72;21.05;0.90;7.16;-48.73;-83.13;-314.32;34.19;42.33
960;1;-0.050;-0.950;-3.397;4.27;-0.43;79.82;4.40;34.99;125.69;19.54;-91.38;76.78;115.60
;;;;;0.55;-5.84;20.50;0.80;5.59;-56.09;-73.18;-294.19;31.99;39.17
961;1;-0.050;-1.050;-3.422;4.12;-0.30;80.05;3.88;26.87;123.97;15.34;-84.21;74.53;113.59
;;;;;0.60;-4.73;19.99;0.71;4.28;-67.98;-62.67;-272.32;29.84;35.93
962;1;-0.050;-1.150;-3.446;3.89;-0.21;79.91;3.45;20.29;120.42;10.05;-77.02;71.27;111.18
;;;;;0.61;-3.97;19.72;0.63;3.22;-86.02;-51.85;-248.35;27.79;32.74
963;1;-0.050;-1.250;-3.471;3.63;-0.15;79.32;3.09;15.01;117.41;7.58;-69.90;64.65;107.97
;;;;;0.54;-3.47;19.64;0.56;2.39;-109.59;-40.72;-226.85;26.51;29.71
964;1;-0.050;-1.350;-3.496;3.12;-0.08;78.52;2.63;12.15;115.32;7.63;-63.07;54.91;103.30
;;;;;0.48;-2.89;20.51;0.46;2.02;-135.83;-29.20;-206.51;27.06;26.94
965;1;-0.050;-1.450;-3.520;2.66;0.09;77.45;2.27;9.19;160.72;18.61;-56.90;57.73;97.86
;;;;;0.44;-2.42;22.45;0.38;1.69;-162.84;-20.96;-184.66;28.75;24.51
966;1;-0.050;-1.550;-3.545;2.46;0.10;76.31;2.16;7.03;82.71;30.62;-51.48;61.14;93.01
;;;;;0.44;-2.23;22.99;0.36;1.45;-176.24;-16.06;-163.39;26.31;22.30
967;1;-0.050;-1.650;-3.570;2.17;0.10;75.17;1.94;7.14;173.25;43.22;-46.75;65.47;88.24
;;;;;0.41;-1.98;-25.73;0.32;1.27;-115.02;-14.39;-141.99;23.80;20.26
968;1;-0.050;-1.750;-3.595;2.02;0.11;73.92;1.83;7.56;148.32;57.16;-42.57;71.47;83.82
;;;;;0.40;-1.85;-72.43;0.30;0.91;-119.06;-13.35;-120.18;20.97;18.43
969;1;-0.050;-1.850;-3.619;2.21;0.18;85.16;1.76;8.01;121.91;73.87;-38.97;79.40;80.70
;;;;;0.40;-1.77;-53.67;0.29;0.77;-167.28;-13.03;-116.45;-20.51;16.79
970;1;-0.050;-1.950;-3.644;2.61;0.40;80.39;1.71;8.87;168.17;94.25;-36.01;88.67;80.91
;;;;;0.39;-1.77;-86.67;0.28;1.12;-95.88;-13.26;-117.16;-27.91;15.41
971;1;-0.150;-0.050;-3.200;10.52;-9.24;85.16;18.04;324.89;154.42;-55.66;-197.94;36.56;167.91
;;;;;-23.81;-53.47;-66.64;3.19;49.61;-177.97;-285.73;-529.06;-77.00;66.17
972;1;-0.150;-0.150;-3.224;5.20;-8.05;88.83;18.03;209.47;-82.88;-41.23;-168.37;79.53;166.41
;;;;;-30.40;-46.04;-89.97;2.56;25.11;-172.88;-288.89;-439.08;-72.17;48.53
973;1;-0.150;-0.250;-3.248;3.04;-6.67;86.02;12.93;127.88;-49.64;-31.93;-142.93;86.16;159.41
;;;;;-14.78;-35.62;-88.90;2.93;15.54;-112.93;-203.80;-403.58;-81.93;47.40
974;1;-0.150;-0.350;-3.272;2.45;-4.14;89.44;11.52;81.29;-28.64;-22.68;-124.18;89.49;147.60
;;;;;-8.28;-26.27;-89.87;2.50;10.26;-88.52;-138.30;-366.48;-85.63;41.02
975;1;-0.150;-0.450;-3.296;3.88;-2.80;87.89;10.13;53.47;-23.18;26.73;-111.66;86.50;139.77
;;;;;-4.85;-18.76;-86.23;1.88;8.10;-64.39;-126.77;-339.08;-87.19;43.01
976;1;-0.150;-0.550;-3.320;4.97;-1.80;84.57;8.49;37.40;-22.93;37.49;-102.46;83.14;132.01
;;;;;-3.00;-14.40;-83.77;1.48;6.42;-47.47;-119.03;-315.55;-88.11;42.26
977;1;-0.150;-0.650;-3.344;5.49;-1.15;84.89;7.15;32.19;-21.05;43.38;-94.91;80.28;122.90
;;;;;-1.49;-11.71;-88.19;1.24;4.74;-47.10;-113.16;-296.58;-89.41;41.02
978;1;-0.150;-0.750;-3.368;5.63;-0.75;87.62;6.07;28.15;-13.80;45.56;-88.34;89.68;113.98
;;;;;-0.60;-9.62;-18.62;1.07;4.03;-69.79;-106.35;-276.95;28.34;39.33
979;1;-0.150;-0.850;-3.392;5.49;-0.49;84.97;5.18;24.33;-14.82;44.95;-78.42;89.16;104.53
;;;;;0.42;-7.94;16.97;0.94;3.54;-118.58;-97.66;-256.94;27.51;37.30
980;1;-0.150;-0.950;-3.416;5.16;-0.32;84.57;4.43;20.72;-21.59;42.25;-70.03;89.12;95.09
;;;;;0.65;-6.55;16.73;0.82;3.13;-143.96;-87.60;-236.97;25.95;29.43
981;1;-0.150;-1.050;-3.440;4.72;-0.21;83.82;3.78;17.47;-19.85;38.04;-64.52;89.82;98.07
;;;;;0.63;-5.40;17.57;0.71;2.58;-150.50;-76.70;-217.71;22.83;26.02
982;1;-0.150;-1.150;-3.464;4.30;-0.23;82.71;3.28;14.45;-16.28;32.87;-58.17;83.08;102.37
;;;;;0.57;-4.57;16.79;0.60;2.34;-150.74;-65.61;-200.12;-89.77;23.90
983;1;-0.150;-1.250;-3.488;3.96;-0.16;81.38;2.93;11.91;22.47;27.28;-53.91;52.41;105.96
;;;;;0.56;-3.99;17.64;0.53;2.03;-146.59;-54.47;-195.26;-82.94;22.87
984;1;-0.150;-1.350;-3.512;3.47;-0.09;79.91;2.55;9.87;121.14;35.09;-50.07;55.27;108.05
;;;;;0.51;-3.38;20.07;0.45;1.66;-160.37;-43.49;-188.09;-67.65;21.54
985;1;-0.150;-1.450;-3.536;3.05;-0.06;78.18;2.32;8.46;95.54;47.69;-46.31;58.72;109.57
;;;;;0.47;-2.89;24.30;0.40;1.48;-174.17;-33.48;-178.60;-39.28;20.22
986;1;-0.150;-1.550;-3.560;2.58;0.08;76.70;2.06;6.59;105.64;60.33;-42.62;62.51;109.70
;;;;;0.42;-2.41;19.80;0.35;1.37;-171.24;-24.56;-166.37;-25.81;18.96
987;1;-0.150;-1.650;-3.585;2.17;0.10;75.43;1.82;4.86;170.27;73.11;-39.24;68.44;109.41
;;;;;0.37;-2.01;-20.85;0.30;0.70;-164.72;-18.69;-153.43;-21.73;17.66
988;1;-0.150;-1.750;-3.609;1.99;0.11;74.16;1.78;5.32;148.17;87.36;-36.43;78.97;110.20
;;;;;0.35;-1.83;-27.02;0.29;0.73;-47.12;-15.62;-141.32;-20.15;16.52
989;1;-0.150;-1.850;-3.633;2.03;0.27;73.11;1.76;6.19;136.41;102.53;-34.02;83.13;111.32
;;;;;0.34;-1.78;-34.06;0.28;0.87;-83.04;-13.17;-138.39;-84.89;18.05
990;1;-0.150;-1.950;-3.657;2.45;0.46;72.19;1.72;7.19;128.76;118.12;-31.90;50.66;112.58
;;;;;0.34;-1.85;-41.06;0.26;0.83;-111.79;-11.95;-138.03;-71.14;16.45
991;1;-0.250;-0.050;-3.224;8.61;-6.23;88.75;11.42;182.03;179.89;52.49;-153.53;57.20;188.11
;;;;;-15.50;-31.55;-85.44;2.31;22.35;-174.43;-202.74;-456.16;-81.93;55.61
992;1;-0.250;-0.150;-3.248;5.76;-6.13;89.35;13.08;124.41;175.69;44.76;-140.12;42.26;151.25
;;;;;-13.08;-34.00;-88.55;3.04;16.37;-175.07;-224.59;-377.36;-86.85;43.50
993;1;-0.250;-0.250;-3.271;3.90;-4.99;89.82;12.00;70.56;-71.87;40.69;-125.73;78.44;148.69
;;;;;-8.42;-28.64;-88.88;2.69;10.61;-140.01;-202.64;-360.41;-71.57;34.47
994;1;-0.250;-0.350;-3.295;4.38;-3.63;89.87;10.58;49.79;-54.39;46.21;-115.39;63.77;143.90
;;;;;-5.03;-21.85;-88.90;2.30;7.36;-104.80;-124.30;-341.35;-75.74;34.90
995;1;-0.250;-0.450;-3.318;5.03;-2.53;88.86;8.81;37.74;-40.11;54.90;-101.87;55.27;137.35
;;;;;-4.70;-15.71;-87.96;1.88;5.73;-86.44;-114.34;-322.49;-83.03;37.61
996;1;-0.250;-0.550;-3.341;5.35;-1.52;88.28;7.18;30.96;-34.15;62.16;-93.86;48.97;129.73
;;;;;-3.03;-12.40;-84.80;1.46;4.84;-84.02;-112.39;-304.11;-87.88;39.11
997;1;-0.250;-0.650;-3.365;5.45;-0.89;88.12;5.88;25.86;-26.83;66.71;-87.24;89.91;121.14
;;;;;-1.65;-10.23;-88.39;1.17;4.02;-98.98;-109.02;-286.06;-81.94;26.87
998;1;-0.250;-0.750;-3.388;5.39;-0.51;88.00;4.88;21.49;-17.71;68.63;-68.30;87.60;111.87
;;;;;-0.93;-8.54;-26.65;0.98;3.32;-123.35;-104.74;-268.21;-82.48;25.45
999;1;-0.250;-0.850;-3.412;5.16;-0.28;87.53;4.10;17.69;-16.70;68.32;-54.39;85.80;100.56
;;;;;-0.52;-7.17;17.43;0.84;2.79;-137.56;-98.53;-250.75;-88.07;23.32
1000;1;-0.250;-0.950;-3.435;4.85;-0.15;86.70;3.46;14.54;-18.27;66.33;-49.97;82.34;92.07
;;;;;0.25;-6.05;16.03;0.63;2.35;-143.81;-90.20;-235.10;-87.80;19.88
1001;1;-0.250;-1.050;-3.459;4.45;-0.08;85.55;3.05;12.10;-16.27;63.24;-46.40;83.14;95.21
;;;;;0.27;-5.12;16.38;0.64;1.98;-148.13;-80.43;-219.95;-83.57;18.32
1002;1;-0.250;-1.150;-3.482;4.08;-0.06;84.10;2.69;10.27;14.54;59.51;-43.56;82.19;102.60
;;;;;0.39;-4.40;17.33;0.57;1.29;-146.97;-69.75;-205.63;-75.24;17.30
1003;1;-0.250;-1.250;-3.505;3.62;-0.10;82.43;2.35;8.07;69.46;56.11;-41.37;81.73;108.64
;;;;;0.54;-3.73;19.82;0.49;1.42;-153.27;-58.74;-192.63;-69.00;16.77
1004;1;-0.250;-1.350;-3.529;3.30;-0.06;80.58;2.18;6.35;179.59;59.97;-39.58;53.81;114.86
;;;;;0.51;-3.28;25.71;0.45;1.14;-179.95;-48.65;-181.67;-60.08;16.40
1005;1;-0.250;-1.450;-3.552;2.95;0.05;78.73;2.05;5.66;166.45;72.39;-37.99;56.32;120.38
;;;;;0.48;-2.85;31.29;0.41;1.26;-37.63;-40.68;-174.02;-48.92;16.20
1006;1;-0.250;-1.550;-3.576;2.55;0.06;77.28;1.89;4.97;152.85;84.87;-36.29;58.74;124.51
;;;;;0.43;-2.42;20.05;0.37;1.14;-40.04;-35.25;-169.95;-39.40;18.52
1007;1;-0.250;-1.650;-3.599;2.18;0.08;76.01;1.76;4.63;136.57;97.85;-34.45;69.34;128.02
;;;;;0.34;-2.03;-20.85;0.30;1.02;-44.43;-29.75;-164.33;-33.17;17.31
1008;1;-0.250;-1.750;-3.623;1.90;0.08;74.80;1.71;4.80;124.30;111.02;-32.41;53.96;131.20
;;;;;0.30;-1.74;-22.41;0.28;0.85;-49.88;-24.13;-157.89;-49.13;19.84
1009;1;-0.250;-1.850;-3.646;1.90;0.20;73.86;1.66;5.95;123.90;123.52;-30.55;54.14;133.93
;;;;;0.26;-1.73;-27.28;0.26;0.91;-69.03;-19.97;-154.23;-42.00;17.03
1010;1;-0.250;-1.950;-3.670;2.32;0.35;73.08;1.63;7.01;123.11;134.84;-28.96;53.67;136.09
;;;;;0.27;-1.85;-27.83;0.24;1.02;-91.20;-12.54;-152.69;-41.31;15.68
1011;1;-0.350;-0.050;-3.249;9.23;-4.09;83.59;9.56;130.38;179.75;77.43;-139.09;73.76;200.17
;;;;;-9.36;-22.84;-84.21;1.99;10.84;-178.94;-162.47;-431.67;-83.77;56.72
1012;1;-0.350;-0.150;-3.272;7.94;-3.74;86.70;11.21;82.14;179.29;74.79;-122.43;60.97;168.71
;;;;;-8.00;-23.70;-89.70;3.40;10.49;-177.03;-170.97;-351.07;-85.01;48.45
1013;1;-0.350;-0.250;-3.295;5.07;-3.19;89.21;9.71;48.64;-101.83;73.35;-108.83;88.57;136.91
;;;;;-5.52;-20.68;-89.24;2.26;7.16;-160.79;-175.17;-323.38;-86.95;37.03
1014;1;-0.350;-0.350;-3.317;5.03;-2.34;89.04;8.46;33.40;-79.94;74.97;-111.62;72.94;134.52
;;;;;-4.04;-16.15;-89.16;1.87;4.63;-135.68;-112.18;-315.26;-71.40;27.49
1015;1;-0.350;-0.450;-3.340;5.13;-1.61;89.86;7.03;23.85;-62.13;78.85;-105.08;58.89;129.86
;;;;;-4.05;-12.46;-89.27;1.56;3.40;-116.48;-90.55;-303.72;-77.18;27.36
1016;1;-0.350;-0.550;-3.363;5.16;-1.07;89.92;5.74;19.04;-39.48;82.95;-88.72;47.43;123.13
;;;;;-2.99;-10.37;-89.65;1.25;2.88;-109.85;-92.45;-290.61;-88.05;36.86
1017;1;-0.350;-0.650;-3.386;5.10;-0.62;89.94;4.71;15.72;-30.51;85.85;-68.70;86.58;115.06
;;;;;-2.30;-8.75;-89.96;1.05;2.56;-112.99;-91.94;-276.69;-80.28;33.55
1018;1;-0.350;-0.750;-3.409;4.98;-0.33;89.80;3.75;13.00;-21.46;87.14;-47.21;82.71;106.27
;;;;;-1.68;-7.44;-88.18;0.87;2.15;-120.70;-90.38;-262.28;-82.39;24.14
1019;1;-0.350;-0.850;-3.431;4.77;-0.26;89.15;3.22;10.80;-16.82;86.91;-44.23;79.71;97.39
;;;;;-1.15;-6.40;-89.98;0.64;1.83;-127.99;-86.61;-247.76;-83.36;19.44
1020;1;-0.350;-0.950;-3.454;4.48;-0.10;88.17;2.88;9.07;-12.51;85.53;-41.92;38.22;89.08
;;;;;-0.82;-5.52;19.16;0.52;1.56;-134.53;-80.66;-233.68;-81.59;16.39
1021;1;-0.350;-1.050;-3.477;4.18;-0.05;86.86;2.54;7.94;-9.45;83.19;-40.04;40.78;95.71
;;;;;-0.57;-4.80;18.12;0.57;1.40;-138.89;-72.49;-220.26;-78.68;16.38
1022;1;-0.350;-1.150;-3.500;3.73;-0.03;85.27;2.21;6.69;57.05;80.48;-37.87;42.95;103.82
;;;;;-0.38;-4.06;18.37;0.48;0.90;-151.19;-63.47;-207.56;-71.36;14.41
1023;1;-0.350;-1.250;-3.523;3.39;-0.08;83.49;2.04;5.50;173.49;78.14;-36.17;45.01;112.20
;;;;;0.22;-3.54;22.28;0.44;1.09;-43.32;-57.29;-196.99;-64.39;14.22
1024;1;-0.350;-1.350;-3.545;3.07;-0.05;81.64;1.93;4.92;146.67;79.21;-33.95;47.30;120.61
;;;;;0.46;-3.10;39.46;0.44;0.98;-40.03;-54.73;-188.39;-58.05;16.05
1025;1;-0.350;-1.450;-3.568;2.78;0.05;79.89;1.86;4.75;133.31;91.42;-32.43;50.38;128.49
;;;;;0.57;-2.72;30.99;0.42;0.98;-40.08;-50.82;-181.39;-50.77;16.22
1026;1;-0.350;-1.550;-3.591;2.41;0.07;78.44;1.76;4.74;125.32;103.71;-30.34;52.89;135.34
;;;;;0.50;-2.31;19.38;0.39;0.92;-46.14;-45.69;-176.02;-43.89;18.07
1027;1;-0.350;-1.650;-3.614;2.07;-0.08;77.03;1.68;4.53;120.60;116.14;-29.44;54.84;141.51
;;;;;0.43;-1.94;-19.39;0.36;0.88;-51.95;-40.27;-172.00;-38.38;16.85
1028;1;-0.350;-1.750;-3.637;1.79;-0.09;75.77;1.64;4.29;117.66;127.43;-32.41;56.08;146.39
;;;;;0.27;-1.64;-20.25;0.30;0.84;-55.67;-34.52;-170.11;-34.47;17.42
1029;1;-0.350;-1.850;-3.660;1.84;-0.10;74.82;1.59;5.50;113.96;136.80;-33.16;56.65;149.98
;;;;;0.23;-1.70;-20.29;0.28;0.93;-62.67;-28.63;-168.22;-31.93;16.25
1030;1;-0.350;-1.950;-3.682;2.25;-0.22;74.08;1.55;6.77;116.75;143.69;-33.46;56.54;152.19
;;;;;0.21;-1.83;-22.06;0.22;0.96;-72.99;-23.85;-166.07;-30.35;16.29
1031;1;-0.450;-0.050;-3.274;8.55;-2.46;89.03;8.22;96.61;173.21;81.78;-125.30;89.97;200.47
;;;;;-4.60;-16.60;-80.37;1.93;5.92;-176.95;-135.81;-413.59;-85.04;54.61
1032;1;-0.450;-0.150;-3.296;7.95;-2.22;88.89;9.77;55.09;174.69;87.85;-110.05;87.11;170.58
;;;;;-4.64;-16.47;-87.24;1.89;7.20;-173.43;-138.23;-330.21;-86.23;48.00
1033;1;-0.450;-0.250;-3.318;5.06;-1.86;89.53;7.49;35.78;-120.82;88.37;-95.85;89.22;137.20
;;;;;-3.47;-14.60;-88.88;1.82;5.09;-172.87;-138.94;-291.94;-82.50;30.51
1034;1;-0.450;-0.350;-3.340;4.93;-1.37;89.99;6.45;23.55;-106.65;90.63;-98.97;89.55;122.92
;;;;;-2.89;-12.28;-89.13;1.54;2.99;-141.30;-108.83;-290.92;-69.11;36.36
1035;1;-0.450;-0.450;-3.362;4.88;-1.01;89.42;5.41;14.93;-82.35;93.74;-84.91;57.01;119.71
;;;;;-3.96;-10.31;-89.43;1.05;1.89;-121.84;-66.31;-284.88;-72.30;30.31
1036;1;-0.450;-0.550;-3.385;4.82;-0.78;89.72;4.51;10.48;-49.76;96.70;-76.46;37.68;113.89
;;;;;-3.06;-8.78;-89.87;0.98;1.85;-113.32;-69.26;-275.97;-77.98;38.04
