Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;Querkräfte [kN/m];;Normalkräfte [kN/m];;
;;;;;-9.08;-11.45;-0.71;4.63;-17.89;-176.33;-293.46;29.48
978;1;-0.150;-0.750;-3.368;2.36;5.54;2.98;26.87;-1.32;-24.13;45.55;82.22
;;;;;-6.51;-9.47;0.47;2.38;-13.26;-143.11;-272.70;25.52
979;1;-0.150;-0.850;-3.392;2.40;5.42;2.70;23.80;-1.14;-22.82;44.93;73.18
;;;;;-4.79;-7.88;-0.24;-2.33;-10.01;-136.18;-251.21;22.05
980;1;-0.150;-0.950;-3.416;2.27;5.08;2.38;20.64;-0.19;-27.22;-44.12;64.45
;;;;;-3.55;-6.55;-0.20;-5.21;-7.62;-130.81;-229.27;19.05
981;1;-0.150;-1.050;-3.440;2.07;4.61;2.07;17.46;1.61;-26.41;-44.29;61.33
;;;;;-2.68;-5.40;-0.47;-6.70;-5.80;-123.18;-207.35;20.92
982;1;-0.150;-1.150;-3.464;1.90;4.15;1.81;14.29;2.99;-21.19;-44.28;58.50
;;;;;-2.12;-4.52;-0.68;-6.94;-4.47;-113.72;-194.94;21.98
983;1;-0.150;-1.250;-3.488;1.75;3.79;1.60;11.37;4.13;23.34;-43.35;54.68
;;;;;-1.77;-3.90;-0.82;-6.37;-4.54;-102.56;-193.25;19.27
984;1;-0.150;-1.350;-3.512;1.58;3.28;1.39;9.63;2.64;35.07;-42.02;51.33
;;;;;-1.50;-3.24;-0.89;-6.50;-3.37;-90.86;-187.72;16.80
985;1;-0.150;-1.450;-3.536;1.59;2.81;1.27;8.43;1.13;46.84;-40.31;54.33
;;;;;-1.45;-2.70;-0.95;-6.40;-3.74;-78.73;-178.56;14.37
986;1;-0.150;-1.550;-3.560;1.56;2.32;1.13;6.50;1.29;57.33;-38.23;57.18
;;;;;-1.40;-2.19;-0.94;-5.07;-3.39;-64.43;-165.25;-24.67
987;1;-0.150;-1.650;-3.585;1.50;1.90;0.99;4.73;0.70;66.23;-36.18;59.72
;;;;;-1.33;-1.78;-0.89;-3.22;-3.13;-63.31;-149.50;-37.02
988;1;-0.150;-1.750;-3.609;1.58;1.68;1.01;5.23;1.88;74.43;-34.48;62.42
;;;;;-1.41;-1.57;-0.92;-1.43;-3.04;-65.84;-132.34;-50.61
989;1;-0.150;-1.850;-3.633;1.68;1.50;1.05;5.95;2.09;80.79;-32.93;65.36
;;;;;-1.49;-1.42;-0.93;-0.42;-3.50;-68.58;-112.26;-65.05
990;1;-0.150;-1.950;-3.657;1.73;1.49;1.07;6.64;2.13;84.16;44.51;68.34
;;;;;-1.53;-1.28;-0.93;-0.70;-4.16;-70.87;-88.59;-79.90
991;1;-0.250;-0.050;-3.224;6.40;7.35;7.46;-19.70;82.38;-73.40;-68.59;-35.34
;;;;;-28.19;-27.51;-8.15;-161.24;-103.20;-371.04;-347.23;-166.65
992;1;-0.250;-0.150;-3.248;4.45;4.22;6.24;-6.81;-14.13;-48.27;-78.24;25.02
;;;;;-33.54;-30.05;-5.04;-81.96;-96.06;-297.74;-351.53;-128.60
993;1;-0.250;-0.250;-3.271;-2.60;3.49;4.83;15.71;-10.59;-34.97;-70.79;33.54
;;;;;-28.62;-24.17;-3.27;-31.51;-70.01;-260.51;-353.40;-79.15
994;1;-0.250;-0.350;-3.295;-1.52;4.25;3.80;16.11;-6.93;-28.04;-62.86;52.46
;;;;;-21.84;-18.96;-2.48;-7.09;-48.04;-225.80;-339.80;-55.81
995;1;-0.250;-0.450;-3.318;-1.41;4.95;3.07;22.61;-4.36;-23.99;-55.97;64.44
;;;;;-15.65;-15.01;-1.66;3.53;-31.13;-192.42;-322.32;-40.54
996;1;-0.250;-0.550;-3.341;-0.95;5.31;2.56;24.05;-2.46;-20.10;57.34;67.08
;;;;;-10.83;-12.15;-1.02;2.42;-21.56;-159.48;-304.07;-30.10
997;1;-0.250;-0.650;-3.365;-0.58;5.43;2.15;22.72;-1.36;-21.90;63.52;64.65
;;;;;-7.36;-10.06;-0.58;1.88;-15.21;-127.65;-285.58;-23.08
998;1;-0.250;-0.750;-3.388;0.60;5.38;1.88;20.20;-1.01;-26.71;66.23;60.58
;;;;;-5.00;-8.45;0.32;-2.87;-10.82;-111.07;-266.84;-18.56
999;1;-0.250;-0.850;-3.412;0.73;5.14;1.77;17.30;-0.91;-24.78;66.22;55.24
;;;;;-3.43;-7.13;-0.16;-4.24;-7.78;-107.32;-248.24;-15.93
1000;1;-0.250;-0.950;-3.435;0.79;4.81;1.63;14.49;-0.10;-19.51;64.14;48.84
;;;;;-2.37;-6.05;-0.18;-4.99;-5.76;-101.72;-230.77;15.48
1001;1;-0.250;-1.050;-3.459;0.81;4.39;1.49;12.10;1.10;24.24;60.52;43.54
;;;;;-1.66;-5.11;-0.38;-5.35;-4.55;-94.48;-213.02;15.34
1002;1;-0.250;-1.150;-3.482;0.82;3.99;1.37;10.14;2.26;37.31;55.66;41.61
;;;;;-1.28;-4.36;-0.55;-5.31;-3.89;-85.43;-195.27;-14.92
1003;1;-0.250;-1.250;-3.505;0.81;3.51;1.24;7.95;1.80;48.20;50.10;45.64
;;;;;-1.03;-3.65;-0.66;-4.54;-3.08;-75.15;-177.77;-15.87
1004;1;-0.250;-1.350;-3.529;0.89;3.15;1.21;6.34;0.31;59.08;44.25;50.04
;;;;;-1.00;-3.15;-0.77;-3.97;-3.05;-65.74;-175.25;-17.19
1005;1;-0.250;-1.450;-3.552;1.01;2.75;1.18;5.58;0.97;69.89;37.85;54.43
;;;;;-1.05;-2.67;-0.84;-3.82;-2.94;-67.94;-172.98;-23.36
1006;1;-0.250;-1.550;-3.576;1.13;2.33;1.11;4.72;1.86;79.78;-34.57;58.58
;;;;;-1.12;-2.21;-0.85;-3.42;-2.81;-70.13;-167.01;-33.89
1007;1;-0.250;-1.650;-3.599;1.27;1.93;1.04;3.88;2.92;88.86;-33.35;62.20
;;;;;-1.21;-1.81;-0.84;-2.95;-2.82;-72.70;-158.13;-45.66
1008;1;-0.250;-1.750;-3.623;1.44;1.62;1.00;4.72;2.91;96.48;-31.85;65.41
;;;;;-1.36;-1.51;-0.85;-1.87;-2.84;-75.25;-146.76;-58.50
1009;1;-0.250;-1.850;-3.646;1.58;1.38;0.96;5.73;2.73;101.42;-30.36;68.38
;;;;;-1.48;-1.29;-0.84;-0.79;-3.03;-77.42;-133.16;-72.20
1010;1;-0.250;-1.950;-3.670;1.69;1.71;0.98;6.54;2.68;102.87;-28.95;71.21
;;;;;-1.57;-1.12;-0.83;-0.41;-3.43;-79.04;-117.25;-86.26
1011;1;-0.350;-0.050;-3.249;8.13;5.46;5.53;24.76;74.00;-59.51;-44.63;-33.46
;;;;;-20.35;-19.63;-6.37;-122.07;-54.69;-340.51;-308.55;-173.16
1012;1;-0.350;-0.150;-3.272;7.11;5.43;4.75;-7.40;-5.74;-41.07;-55.48;-20.92
;;;;;-23.32;-21.31;-4.19;-70.40;-49.37;-270.04;-295.75;-144.14
1013;1;-0.350;-0.250;-3.295;2.70;5.01;3.61;4.05;-5.96;-28.29;-58.67;19.17
;;;;;-20.61;-18.57;-2.81;-30.40;-43.60;-226.90;-311.20;-104.97
1014;1;-0.350;-0.350;-3.317;-1.05;4.99;2.71;5.62;-4.63;-21.09;-51.99;26.09
;;;;;-16.15;-15.15;-2.04;-11.19;-33.29;-187.52;-310.56;-76.86
1015;1;-0.350;-0.450;-3.340;-0.95;5.11;2.09;8.96;-3.00;-17.62;62.38;41.51
;;;;;-11.76;-12.38;-1.36;-4.00;-22.64;-151.81;-302.21;-59.17
1016;1;-0.350;-0.550;-3.363;-0.79;5.15;1.62;12.62;-1.83;-23.68;71.36;48.49
;;;;;-8.19;-10.27;-0.83;-2.38;-15.33;-119.06;-290.35;-47.26
1017;1;-0.350;-0.650;-3.386;-0.52;5.10;1.24;13.11;-1.06;-24.09;77.13;50.39
;;;;;-5.57;-8.65;-0.47;-2.35;-10.75;-93.18;-276.68;-38.66
1018;1;-0.350;-0.750;-3.409;-0.29;4.98;1.16;12.11;-1.02;-18.55;79.98;48.79
;;;;;-3.75;-7.40;-0.24;-2.85;-7.55;-90.66;-261.85;-32.68
1019;1;-0.350;-0.850;-3.431;0.16;4.77;1.14;10.58;-0.85;19.07;80.43;45.11
;;;;;-2.56;-6.40;-0.11;-3.26;-5.53;-86.62;-246.27;-28.70
1020;1;-0.350;-0.950;-3.454;0.19;4.47;1.11;9.05;0.15;33.59;79.01;40.36
;;;;;-1.80;-5.52;-0.18;-3.49;-4.30;-81.06;-230.37;-26.25
1021;1;-0.350;-1.050;-3.477;0.21;4.15;1.07;7.93;1.05;46.09;75.98;38.47
;;;;;-1.34;-4.79;-0.33;-3.78;-3.80;-73.75;-214.26;-24.89
1022;1;-0.350;-1.150;-3.500;0.22;3.68;1.01;6.69;0.64;56.58;71.72;37.32
;;;;;-1.00;-4.02;-0.45;-3.59;-3.11;-68.17;-197.72;-24.48
1023;1;-0.350;-1.250;-3.523;0.34;3.32;1.02;5.32;0.95;67.06;66.99;43.21
;;;;;-0.83;-3.46;-0.56;-2.95;-2.97;-71.05;-183.26;-24.60
1024;1;-0.350;-1.350;-3.545;0.52;2.97;1.04;4.41;1.73;77.74;61.67;48.77
;;;;;-0.77;-2.98;-0.66;-2.52;-2.80;-73.94;-169.48;-25.44
1025;1;-0.350;-1.450;-3.568;0.71;2.63;1.07;3.91;2.66;88.23;55.90;53.91
;;;;;-0.88;-2.56;-0.73;-2.39;-2.78;-76.54;-167.87;-27.21
1026;1;-0.350;-1.550;-3.591;0.88;2.24;1.06;3.52;3.42;98.03;49.91;58.75
;;;;;-1.00;-2.13;-0.75;-2.31;-3.30;-78.93;-167.41;-37.33
1027;1;-0.350;-1.650;-3.614;1.09;1.87;1.06;3.25;3.73;107.01;43.91;62.88
;;;;;-1.17;-1.74;-0.76;-2.10;-3.48;-81.34;-164.50;-48.37
1028;1;-0.350;-1.750;-3.637;1.30;1.55;1.04;4.24;3.45;113.64;38.03;66.41
;;;;;-1.34;-1.43;-0.77;-1.71;-3.11;-83.32;-158.98;-60.28
1029;1;-0.350;-1.850;-3.660;1.47;1.53;1.00;5.27;3.11;116.81;32.26;69.36
;;;;;-1.48;-1.18;-0.76;-1.12;-2.71;-84.67;-151.24;-73.02
1030;1;-0.350;-1.950;-3.682;1.62;1.90;0.94;6.26;2.81;115.75;26.59;71.80
;;;;;-1.60;-0.98;-0.74;0.67;-3.06;-85.28;-141.44;-86.10
1031;1;-0.450;-0.050;-3.274;7.91;4.19;4.14;38.39;62.32;-49.23;29.57;-32.32
;;;;;-13.33;-14.42;-5.95;-90.06;-37.45;-302.98;-285.33;-176.59
1032;1;-0.450;-0.150;-3.296;7.55;5.16;3.37;-6.11;-4.05;-34.81;-39.25;-22.29
;;;;;-15.57;-16.46;-3.82;-50.46;-28.19;-245.19;-260.24;-147.57
1033;1;-0.450;-0.250;-3.318;3.48;5.05;2.54;-3.45;-2.85;-23.61;48.18;11.20
;;;;;-13.93;-14.58;-2.43;-26.43;-26.66;-199.16;-278.20;-114.78
1034;1;-0.450;-0.350;-3.340;-0.64;4.93;1.92;2.79;-2.76;-15.10;60.50;17.82
;;;;;-11.08;-12.25;-1.68;-13.18;-21.26;-156.94;-283.94;-89.26
1035;1;-0.450;-0.450;-3.362;-0.60;4.87;1.42;2.67;-1.81;-18.35;71.18;28.30
;;;;;-8.20;-10.28;-1.09;-4.27;-14.90;-119.85;-281.73;-70.02
1036;1;-0.450;-0.550;-3.385;-0.42;4.82;1.08;4.75;-1.08;-15.44;79.55;36.84
;;;;;-5.79;-8.75;-0.66;-2.33;-10.23;-87.51;-274.88;-56.47
1037;1;-0.450;-0.650;-3.407;-0.32;4.75;0.81;6.38;-0.84;-12.02;85.19;40.64
;;;;;-3.99;-7.55;-0.37;-2.14;-7.34;-79.40;-265.27;-47.34
1038;1;-0.450;-0.750;-3.429;-0.22;4.62;0.68;6.57;-0.90;24.32;88.30;40.77
;;;;;-2.75;-6.60;-0.20;-2.25;-5.91;-76.25;-253.81;-40.74
1039;1;-0.450;-0.850;-3.451;-0.12;4.41;0.71;6.15;-0.52;38.67;89.29;38.66
;;;;;-1.94;-5.78;0.08;-2.37;-4.75;-71.92;-241.31;-36.11
1040;1;-0.450;-0.950;-3.473;0.08;4.17;0.74;5.68;0.39;50.85;88.37;35.06
;;;;;-1.42;-5.07;-0.18;-2.61;-4.11;-68.20;-227.91;-32.91
1041;1;-0.450;-1.050;-3.495;0.11;3.76;0.74;4.96;0.14;61.04;85.86;33.77
;;;;;-1.07;-4.32;-0.28;-2.50;-2.92;-72.11;-213.54;-31.06
1042;1;-0.450;-1.150;-3.518;0.13;3.44;0.78;4.25;1.54;71.37;82.61;32.86
;;;;;-0.94;-3.75;-0.39;-2.19;-2.96;-75.59;-199.90;-30.02
1043;1;-0.450;-1.250;-3.540;0.16;3.07;0.84;3.79;2.15;82.08;78.44;39.56
;;;;;-0.90;-3.20;-0.47;-2.02;-3.05;-78.93;-186.47;-29.91
1044;1;-0.450;-1.350;-3.562;0.30;2.73;0.89;3.28;3.03;92.79;73.68;45.71
;;;;;-0.87;-2.74;-0.55;-1.73;-3.60;-81.88;-173.52;-30.50
1045;1;-0.450;-1.450;-3.584;0.52;2.42;0.96;2.98;3.64;103.20;68.57;51.33
;;;;;-0.84;-2.36;-0.61;-1.54;-3.87;-84.52;-162.86;-31.74
1046;1;-0.450;-1.550;-3.606;0.72;2.07;1.00;2.96;4.03;112.81;63.15;56.46
;;;;;-0.96;-1.96;-0.64;-1.72;-3.99;-86.67;-166.78;-35.93
1047;1;-0.450;-1.650;-3.629;0.92;1.71;1.01;3.11;3.88;120.75;57.54;60.84
;;;;;-1.12;-1.59;-0.65;-1.67;-3.67;-88.31;-168.44;-46.19
1048;1;-0.450;-1.750;-3.651;1.13;1.40;1.01;3.95;3.53;125.71;51.94;64.38
;;;;;-1.29;-1.28;-0.65;-1.44;-3.20;-89.31;-167.98;-57.21
1049;1;-0.450;-1.850;-3.673;1.31;1.67;0.97;4.87;3.20;126.71;46.37;67.20
;;;;;-1.44;-1.02;-0.64;-1.11;-2.77;-89.57;-165.49;-68.88
1050;1;-0.450;-1.950;-3.695;1.47;2.03;0.91;5.75;3.07;123.06;40.87;69.43
;;;;;-1.57;-0.83;-0.62;-0.64;-2.60;-89.20;-160.99;-81.00
1051;1;-0.550;-0.050;-3.298;7.13;3.37;3.13;39.08;51.77;-41.85;35.44;-30.71
;;;;;-8.69;-11.11;-5.50;-67.05;-29.03;-267.36;-268.37;-177.15
1052;1;-0.550;-0.150;-3.320;7.00;4.60;2.50;-4.62;3.31;-29.57;35.41;-22.17
;;;;;-10.25;-13.10;-3.56;-35.14;-18.27;-219.54;-233.21;-146.64
1053;1;-0.550;-0.250;-3.341;3.46;4.67;1.84;3.70;2.10;-18.58;48.20;-11.36
;;;;;-9.08;-11.76;-2.20;-22.84;-16.47;-172.96;-251.77;-116.39
1054;1;-0.550;-0.350;-3.363;0.80;4.59;1.35;2.72;-1.48;-11.99;62.45;16.66
;;;;;-7.23;-10.10;-1.42;-13.02;-13.00;-130.46;-260.73;-92.65
1055;1;-0.550;-0.450;-3.385;-0.35;4.54;0.98;1.88;-0.96;-9.23;73.80;25.62
;;;;;-5.42;-8.70;-0.91;-6.19;-9.17;-93.81;-262.42;-75.30
1056;1;-0.550;-0.550;-3.406;-0.24;4.47;0.70;1.29;-0.56;7.47;82.40;30.07
;;;;;-3.88;-7.53;-0.59;-2.13;-7.39;-74.42;-258.85;-62.36
1057;1;-0.550;-0.650;-3.428;-0.18;4.37;0.51;2.30;-0.71;25.38;88.34;34.25
;;;;;-2.73;-6.65;-0.38;-1.54;-6.34;-70.07;-252.25;-55.02
1058;1;-0.550;-0.750;-3.449;-0.14;4.23;0.40;3.05;-0.63;40.00;91.96;35.63
;;;;;-1.96;-5.87;-0.24;-1.53;-5.21;-66.41;-243.57;-47.65
1059;1;-0.550;-0.850;-3.471;-0.09;4.06;0.42;3.30;-0.16;52.22;93.48;34.68
;;;;;-1.45;-5.23;-0.15;-1.66;-4.48;-70.53;-233.38;-40.44
1060;1;-0.550;-0.950;-3.492;0.09;3.73;0.46;3.17;-0.29;62.34;93.08;32.46
;;;;;-1.11;-4.50;-0.16;-1.59;-2.73;-75.15;-221.52;-35.97
1061;1;-0.550;-1.050;-3.514;0.08;3.46;0.53;2.89;1.84;72.53;91.68;29.19
;;;;;-0.98;-3.95;-0.24;-1.35;-2.94;-79.25;-209.96;-33.80
1062;1;-0.550;-1.150;-3.535;0.07;3.14;0.61;2.82;2.65;83.19;89.09;28.67
;;;;;-0.96;-3.42;-0.32;-1.36;-3.62;-83.21;-198.22;-32.76
1063;1;-0.550;-1.250;-3.557;0.10;2.81;0.69;2.71;3.18;94.09;85.57;34.96
;;;;;-0.98;-2.93;-0.39;-1.34;-4.20;-86.46;-186.35;-32.54
1064;1;-0.550;-1.350;-3.579;0.17;2.49;0.77;2.57;3.79;104.87;81.43;41.46
;;;;;-1.02;-2.49;-0.45;-1.31;-4.40;-89.18;-174.85;-33.01
1065;1;-0.550;-1.450;-3.600;0.39;2.18;0.85;2.55;4.04;114.89;76.83;47.27
;;;;;-1.03;-2.11;-0.50;-1.24;-4.30;-91.35;-163.81;-34.09
1066;1;-0.550;-1.550;-3.622;0.60;1.86;0.91;2.61;4.07;123.65;71.88;52.39
;;;;;-1.01;-1.74;-0.52;-1.36;-4.05;-92.77;-165.25;-35.67
1067;1;-0.550;-1.650;-3.643;0.79;1.52;0.93;2.73;3.84;129.99;66.67;56.78
;;;;;-1.10;-1.39;-0.53;-1.45;-3.63;-93.35;-170.61;-40.03
1068;1;-0.550;-1.750;-3.665;0.97;1.44;0.93;3.53;3.56;132.94;61.38;60.29
;;;;;-1.25;-1.09;-0.53;-1.28;-3.20;-93.26;-174.14;-50.23
1069;1;-0.550;-1.850;-3.686;1.15;1.76;0.90;4.34;3.43;131.82;56.10;63.05
;;;;;-1.39;-0.87;-0.52;-1.00;-2.91;-92.59;-175.92;-61.16
1070;1;-0.550;-1.950;-3.708;1.32;2.12;0.86;5.16;3.41;125.99;50.84;65.20
;;;;;-1.54;-0.69;-0.50;-0.64;-2.75;-91.61;-175.95;-72.78
1071;1;-0.650;-0.050;-3.323;6.30;2.83;2.60;34.27;42.30;-36.22;43.22;-28.68
;;;;;-6.15;-8.88;-4.85;-50.35;-24.81;-242.53;-254.26;-175.78
1072;1;-0.650;-0.150;-3.344;6.11;4.07;1.95;5.01;2.84;-24.10;32.79;-21.14
;;;;;-6.67;-10.69;-3.18;-25.97;-12.81;-193.85;-219.59;-143.18
1073;1;-0.650;-0.250;-3.365;3.08;4.21;1.36;4.03;1.87;-14.97;43.78;13.37
;;;;;-5.76;-9.69;-2.02;-20.63;-10.18;-147.96;-229.22;-113.84
1074;1;-0.650;-0.350;-3.386;0.88;4.20;0.97;2.66;-0.98;-8.90;58.62;20.24
;;;;;-4.56;-8.49;-1.32;-12.37;-8.47;-106.90;-240.14;-90.94
1075;1;-0.650;-0.450;-3.407;-0.27;4.20;0.69;1.66;-0.64;6.27;71.51;26.79
;;;;;-3.44;-7.47;-0.86;-6.63;-7.08;-74.18;-244.38;-78.20
1076;1;-0.650;-0.550;-3.428;-0.20;4.12;0.49;0.98;-0.41;22.59;81.12;30.81
;;;;;-2.51;-6.62;-0.57;-3.12;-6.23;-68.96;-243.26;-69.72
1077;1;-0.650;-0.650;-3.449;-0.14;4.02;0.34;0.57;-0.37;38.00;87.88;32.06
;;;;;-1.85;-5.90;-0.40;-1.32;-5.38;-67.40;-239.14;-61.76
1078;1;-0.650;-0.750;-3.470;0.12;3.91;0.25;1.07;-0.17;50.71;92.14;32.95
;;;;;-1.49;-5.30;-0.30;-1.05;-4.63;-72.30;-232.53;-54.24
1079;1;-0.650;-0.850;-3.490;0.12;3.64;0.23;1.45;-0.23;61.13;94.15;33.11
;;;;;-1.23;-4.61;-0.30;-0.95;-2.87;-77.39;-223.49;-46.82
1080;1;-0.650;-0.950;-3.511;0.10;3.43;0.29;1.61;1.83;71.36;94.87;31.64
;;;;;-1.02;-4.10;-0.31;-0.82;-2.92;-82.06;-214.25;-39.44
1081;1;-0.650;-1.050;-3.532;0.07;3.14;0.37;1.80;2.76;81.91;94.05;29.16
;;;;;-0.97;-3.56;-0.31;-0.88;-3.87;-86.46;-204.13;-34.30
1082;1;-0.650;-1.150;-3.553;0.04;2.85;0.46;1.92;3.16;92.83;92.05;25.73
;;;;;-1.02;-3.08;-0.31;-0.92;-4.54;-90.17;-193.68;-33.17
1083;1;-0.650;-1.250;-3.574;0.05;2.53;0.55;2.01;3.81;103.74;89.11;29.51
;;;;;-1.08;-2.62;-0.31;-1.00;-4.77;-93.04;-183.08;-32.90
1084;1;-0.650;-1.350;-3.595;0.09;2.22;0.65;1.99;4.07;114.19;85.53;36.13
;;;;;-1.15;-2.21;-0.35;-0.99;-4.64;-95.17;-172.76;-33.28
1085;1;-0.650;-1.450;-3.616;0.30;1.93;0.73;2.07;4.09;123.42;81.46;41.97
;;;;;-1.20;-1.85;-0.39;-1.06;-4.33;-96.55;-162.84;-34.19
1086;1;-0.650;-1.550;-3.637;0.49;1.63;0.79;2.17;3.98;130.74;76.97;47.09
;;;;;-1.20;-1.50;-0.41;-1.15;-3.95;-97.10;-162.70;-35.55
1087;1;-0.650;-1.650;-3.658;0.67;1.32;0.82;2.33;3.80;135.35;72.18;51.44
;;;;;-1.13;-1.18;-0.41;-1.22;-3.56;-96.80;-171.08;-37.29
1088;1;-0.650;-1.750;-3.679;0.84;1.52;0.83;3.00;3.70;136.39;67.27;54.97
;;;;;-1.22;-0.93;-0.41;-1.14;-3.25;-95.92;-177.84;-40.57
1089;1;-0.650;-1.850;-3.700;1.03;1.84;0.81;3.74;3.68;133.44;62.30;57.73
;;;;;-1.38;-0.72;-0.40;-0.91;-3.04;-94.67;-183.35;-51.09
1090;1;-0.650;-1.950;-3.721;1.21;2.18;0.78;4.60;3.55;125.56;57.30;59.81
;;;;;-1.53;-0.55;-0.39;-0.66;-2.78;-93.13;-187.34;-62.71
1091;1;-0.750;-0.050;-3.348;5.56;2.67;2.19;26.87;33.79;-30.21;48.36;-26.36
;;;;;-4.55;-7.30;-4.08;-37.71;-22.36;-217.88;-241.51;-172.47
1092;1;-0.750;-0.150;-3.368;5.16;3.56;1.56;5.38;2.36;-19.96;39.90;-19.61
;;;;;-4.56;-8.85;-2.76;-22.28;-9.92;-168.95;-208.60;-137.87
1093;1;-0.750;-0.250;-3.388;2.59;3.76;1.06;3.89;1.47;-12.42;34.92;19.74
;;;;;-3.56;-8.12;-1.84;-18.03;-7.82;-124.69;-208.79;-108.91
1094;1;-0.750;-0.350;-3.409;0.83;3.82;0.74;2.40;-0.69;8.71;51.08;25.30
;;;;;-2.78;-7.22;-1.22;-11.25;-6.70;-86.11;-221.23;-88.56
1095;1;-0.750;-0.450;-3.429;-0.20;3.84;0.52;1.40;-0.45;16.92;65.58;29.97
;;;;;-2.13;-6.51;-0.83;-6.44;-5.75;-71.02;-227.33;-81.92
1096;1;-0.750;-0.550;-3.449;-0.16;3.77;0.38;0.74;-0.29;33.38;76.57;33.56
;;;;;-1.60;-5.82;-0.59;-3.41;-5.11;-69.61;-228.18;-73.55
1097;1;-0.750;-0.650;-3.470;0.15;3.71;0.27;0.42;0.21;46.68;84.35;34.84
;;;;;-1.43;-5.27;-0.45;-1.77;-4.63;-74.04;-225.81;-65.56
1098;1;-0.750;-0.750;-3.490;0.15;3.52;0.19;0.25;0.26;57.69;89.36;34.63
;;;;;-1.27;-4.66;-0.40;-1.07;-2.90;-79.11;-220.45;-57.81
1099;1;-0.750;-0.850;-3.510;0.14;3.35;0.15;0.49;1.65;68.08;92.59;33.75
;;;;;-1.12;-4.17;-0.41;-1.01;-2.88;-83.86;-213.73;-49.94
1100;1;-0.750;-0.950;-3.530;0.10;3.11;0.17;0.78;2.64;78.56;93.90;32.27
;;;;;-0.96;-3.66;-0.43;-0.97;-3.96;-88.63;-205.71;-42.28
1101;1;-0.750;-1.050;-3.551;0.05;2.83;0.25;1.08;3.18;89.28;93.66;30.52
;;;;;-0.99;-3.17;-0.45;-0.90;-4.72;-92.69;-196.67;-34.63
1102;1;-0.750;-1.150;-3.571;-0.04;2.55;0.34;1.27;3.69;100.14;92.23;27.85
;;;;;-1.08;-2.72;-0.47;-0.73;-4.98;-95.98;-187.29;-31.70
1103;1;-0.750;-1.250;-3.591;-0.03;2.25;0.44;1.48;4.05;110.73;89.84;24.31
;;;;;-1.19;-2.30;-0.47;-0.82;-4.89;-98.26;-177.74;-31.34
1104;1;-0.750;-1.350;-3.612;0.05;1.95;0.53;1.57;4.07;120.44;86.70;30.04
;;;;;-1.27;-1.91;-0.45;-0.90;-4.56;-99.73;-168.28;-31.65
1105;1;-0.750;-1.450;-3.632;0.23;1.67;0.61;1.60;4.03;128.59;83.11;35.84
;;;;;-1.32;-1.57;-0.42;-0.91;-4.21;-100.37;-159.27;-32.42
1106;1;-0.750;-1.550;-3.652;0.41;1.39;0.67;1.67;3.90;134.51;79.10;40.93
;;;;;-1.34;-1.27;-0.37;-0.98;-3.82;-100.05;-159.67;-33.73
1107;1;-0.750;-1.650;-3.673;0.57;1.27;0.70;1.88;3.82;137.36;74.75;45.34
;;;;;-1.30;-1.00;-0.31;-1.02;-3.49;-98.89;-170.33;-35.47
1108;1;-0.750;-1.750;-3.693;0.74;1.58;0.72;2.47;3.84;136.99;70.25;48.85
;;;;;-1.23;-0.77;-0.31;-0.97;-3.26;-97.37;-179.98;-37.48
1109;1;-0.750;-1.850;-3.713;0.92;1.89;0.72;3.17;3.76;132.47;65.60;51.58
;;;;;-1.38;-0.58;-0.30;-0.87;-3.00;-95.54;-188.38;-39.84
1110;1;-0.750;-1.950;-3.734;1.10;2.22;0.70;4.03;3.53;122.35;60.85;53.97
;;;;;-1.54;-0.47;-0.28;-0.71;-2.65;-93.31;-195.30;-51.60
1111;1;-0.850;-0.050;-3.372;4.90;2.68;1.87;18.52;26.17;-25.44;52.52;-23.88
;;;;;-3.38;-6.62;-3.41;-27.85;-19.59;-194.09;-229.17;-167.29
1112;1;-0.850;-0.150;-3.392;4.26;3.21;1.33;5.17;2.13;-16.78;45.13;19.91
;;;;;-3.23;-7.37;-2.38;-19.98;-8.26;-145.59;-198.65;-131.08
1113;1;-0.850;-0.250;-3.412;2.12;3.34;0.89;3.48;1.11;-10.99;36.07;26.12
;;;;;-2.30;-6.83;-1.62;-15.39;-6.47;-103.65;-189.51;-102.55
1114;1;-0.850;-0.350;-3.431;0.74;3.45;0.65;2.04;0.81;9.52;42.24;30.73
;;;;;-1.75;-6.22;-1.12;-9.84;-5.43;-74.08;-203.46;-88.94
1115;1;-0.850;-0.450;-3.451;0.19;3.48;0.48;1.16;0.52;27.10;57.18;34.02
;;;;;-1.35;-5.67;-0.82;-6.07;-4.81;-70.82;-211.21;-82.91
1116;1;-0.850;-0.550;-3.471;0.18;3.45;0.37;0.64;0.58;40.96;69.57;37.17
;;;;;-1.13;-5.15;-0.64;-3.52;-4.46;-74.84;-213.54;-74.92
1117;1;-0.850;-0.650;-3.490;0.17;3.30;0.26;0.26;0.34;52.30;78.24;38.67
;;;;;-1.13;-4.56;-0.49;-1.88;-2.93;-79.68;-211.95;-67.11
1118;1;-0.850;-0.750;-3.510;0.19;3.20;0.18;0.19;1.47;63.00;84.60;38.76
;;;;;-1.08;-4.15;-0.48;-1.17;-2.84;-84.85;-208.70;-59.26
1119;1;-0.850;-0.850;-3.530;0.16;3.00;0.13;0.34;2.44;73.39;88.54;37.85
